YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,B6,2001,N358JB,BUF,JFK,535,530,-5,17,547,88,78,56,301,643,5,703,648,-15,0,0,,,,,,
2015,1,1,4,B6,115,N284JB,SYR,JFK,555,550,-5,27,617,83,75,43,209,700,5,718,705,-13,0,0,,,,,,
2015,1,1,4,B6,185,N334JB,ROC,JFK,555,550,-5,20,610,85,73,48,264,658,5,720,703,-17,0,0,,,,,,
2015,1,1,4,B6,2702,N571JB,JFK,BUF,655,645,-10,18,703,94,82,62,301,805,2,829,807,-22,0,0,,,,,,
2015,1,1,4,EV,4987,N710EV,ROC,LGA,700,652,-8,23,715,87,69,40,254,755,6,827,801,-26,0,0,,,,,,
2015,1,1,4,B6,2101,N304JB,BUF,JFK,706,703,-3,21,724,92,89,59,301,823,9,838,832,-6,0,0,,,,,,
2015,1,1,4,B6,2301,N571JB,BUF,JFK,910,901,-9,22,923,82,79,52,301,1015,5,1032,1020,-12,0,0,,,,,,
2015,1,1,4,B6,2602,N273JB,JFK,BUF,912,907,-5,11,918,87,80,66,301,1024,3,1039,1027,-12,0,0,,,,,,
2015,1,1,4,B6,586,N536JB,JFK,ROC,920,920,0,16,936,84,78,55,264,1031,7,1044,1038,-6,0,0,,,,,,
2015,1,1,4,B6,116,N203JB,JFK,SYR,952,945,-7,21,1006,71,77,53,209,1059,3,1103,1102,-1,0,0,,,,,,
