,Airport Code,Date,Time,Latitude,Longitude,Weather Description,Temperature (F),Heat Index (F),Wind Chill (F),Dew Point (F),Wind Speed (mph),Wind Gusts (mph),Wind Direction,Precipitation (in),Humidity (%),Visibility (mi),Pressure (mb),Cloud Coverage (%),Snow Total (cm)
0,JFK,2015-01-01,0,40.640,-73.779,Clear,30,31,20,17,14,19,WSW,0.0,57,6,1022,19,0.0
1,LGA,2015-01-01,0,40.776,-73.873,Clear,28,28,19,15,11,16,WSW,0.0,58,6,1021,13,0.0
2,JFK,2015-01-02,0,40.640,-73.779,Clear,37,37,28,25,15,24,WSW,0.0,62,6,1017,6,0.0
3,LGA,2015-01-02,0,40.776,-73.873,Clear,35,35,26,23,12,21,WSW,0.0,63,6,1017,6,0.0
4,JFK,2015-01-03,0,40.640,-73.779,Overcast,35,36,29,26,9,14,NNE,0.0,69,6,1032,100,0.0
5,LGA,2015-01-03,0,40.780,-73.870,Overcast,33,33,26,25,8,14,NNE,0.0,72,6,1032,100,0.0
6,JFK,2015-01-04,0,40.640,-73.779,Mist,46,47,46,46,3,5,NW,0.0,97,1,1018,100,0.0
7,LGA,2015-01-04,0,40.776,-73.873,Mist,43,44,43,43,3,6,N,0.0,97,1,1018,100,0.0
8,JFK,2015-01-05,0,40.640,-73.780,Clear,45,45,38,39,17,27,W,0.0,79,6,1010,0,0.0
9,LGA,2015-01-05,0,40.776,-73.873,Clear,43,44,37,38,14,23,W,0.0,82,6,1010,3,0.0
10,JFK,2015-01-06,0,40.640,-73.780,Clear,23,23,12,5,12,14,NW,0.0,45,6,1030,9,0.0
11,LGA,2015-01-06,0,40.780,-73.870,Clear,22,22,11,2,11,13,NW,0.0,41,6,1030,8,0.0
12,JFK,2015-01-07,0,40.640,-73.780,Clear,21,21,10,16,11,15,WNW,0.0,78,6,1017,21,0.0
13,LGA,2015-01-07,0,40.776,-73.873,Clear,19,19,8,14,9,13,W,0.0,81,6,1017,21,0.0
14,JFK,2015-01-08,0,40.640,-73.779,Cloudy,11,11,-7,6,19,22,NW,0.0,80,6,1026,87,0.0
15,LGA,2015-01-08,0,40.776,-73.873,Overcast,9,9,-8,3,15,20,NW,0.0,76,6,1026,88,0.0
16,JFK,2015-01-09,0,40.640,-73.779,Partly cloudy,23,22,9,15,17,22,SSW,0.0,74,6,1023,47,0.0
17,LGA,2015-01-09,0,40.780,-73.870,Partly cloudy,19,19,6,13,13,19,SSW,0.0,74,6,1022,46,0.0
18,JFK,2015-01-10,0,40.640,-73.780,Clear,23,23,9,16,17,23,WNW,0.0,74,6,1024,4,0.0
19,LGA,2015-01-10,0,40.780,-73.870,Clear,21,21,8,15,14,21,WNW,0.0,77,6,1024,4,0.0
20,JFK,2015-01-11,0,40.640,-73.780,Clear,19,20,7,13,13,18,W,0.0,74,6,1036,17,0.0
21,LGA,2015-01-11,0,40.780,-73.870,Clear,17,17,5,11,10,16,W,0.0,77,6,1036,19,0.0
22,JFK,2015-01-12,0,40.640,-73.780,Partly cloudy,35,36,29,28,10,16,SW,0.0,71,6,1032,46,0.0
23,LGA,2015-01-12,0,40.776,-73.873,Partly cloudy,33,33,26,27,8,14,SW,0.0,77,6,1032,56,0.0
24,JFK,2015-01-13,0,40.640,-73.780,Overcast,36,36,28,31,12,18,N,0.0,83,6,1024,93,0.0
25,LGA,2015-01-13,0,40.780,-73.870,Cloudy,34,35,27,31,9,15,N,0.0,85,6,1024,64,0.0
26,JFK,2015-01-14,0,40.640,-73.780,Clear,22,22,9,13,13,17,NE,0.0,69,6,1035,19,0.0
27,LGA,2015-01-14,0,40.780,-73.870,Clear,19,19,6,8,11,15,NE,0.0,61,6,1036,11,0.0
