,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
29175,16091,KABQ,large_airport,Albuquerque International Sunport,35.040199,-106.609001,5355.0,,US,US-NM,Albuquerque,yes,KABQ,ABQ,ABQ,http://www.abqsunport.com/,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport,
29194,3364,KADW,large_airport,Joint Base Andrews,38.810798999999996,-76.866997,280.0,,US,US-MD,Camp Springs,no,KADW,ADW,ADW,http://www.jba.af.mil/,https://en.wikipedia.org/wiki/Joint_Base_Andrews,Andrews Air Force Base
29207,3366,KAFW,large_airport,Fort Worth Alliance Airport,32.9875984192,-97.3188018799,722.0,,US,US-TX,Fort Worth,no,KAFW,AFW,AFW,http://www.allianceairport.com/,https://en.wikipedia.org/wiki/Fort_Worth_Alliance_Airport,
29211,3368,KAGS,large_airport,Augusta Regional At Bush Field,33.36989974975586,-81.9645004272461,144.0,,US,US-GA,Augusta,yes,KAGS,AGS,AGS,,https://en.wikipedia.org/wiki/Augusta_Regional_Airport,
29244,3377,KAMA,large_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607.0,,US,US-TX,Amarillo,yes,KAMA,AMA,AMA,http://airport.amarillo.gov/,https://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport,
29297,3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,yes,KATL,ATL,ATL,http://www.atlanta-airport.com/,https://en.wikipedia.org/wiki/Hartsfield–Jackson_Atlanta_International_Airport,
29306,3386,KAUS,large_airport,Austin Bergstrom International Airport,30.194499969482425,-97.6698989868164,542.0,,US,US-TX,Austin,yes,KAUS,AUS,AUS,http://www.ci.austin.tx.us/austinairport/,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,
29310,3387,KAVL,large_airport,Asheville Regional Airport,35.436199,-82.541801,2165.0,,US,US-NC,Asheville,yes,KAVL,AVL,AVL,,https://en.wikipedia.org/wiki/Asheville_Regional_Airport,
29334,3391,KBAB,large_airport,Beale Air Force Base,39.136100769,-121.43699646,113.0,,US,US-CA,Marysville,no,KBAB,BAB,BAB,,https://en.wikipedia.org/wiki/Beale_Air_Force_Base,
29335,3392,KBAD,large_airport,Barksdale Air Force Base,32.5018005371,-93.6626968384,166.0,,US,US-LA,Bossier City,no,KBAD,BAD,BAD,,https://en.wikipedia.org/wiki/Barksdale_Air_Force_Base,
