,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
29236,3371,KALB,medium_airport,Albany International Airport,42.74829864501953,-73.80169677734375,285.0,,US,US-NY,Albany,yes,KALB,ALB,ALB,http://www.albanyairport.com/,https://en.wikipedia.org/wiki/Albany_International_Airport,
29282,3383,KART,medium_airport,Watertown International Airport,43.99190139770508,-76.02169799804688,325.0,,US,US-NY,Watertown,yes,KART,ART,ART,,https://en.wikipedia.org/wiki/Watertown_International_Airport,
29376,3404,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636.0,,US,US-NY,Binghamton,yes,KBGM,BGM,BGM,http://binghamtonairport.com/,https://en.wikipedia.org/wiki/Greater_Binghamton_Airport,"Broome County Airport, Edwin A Link Field"
30213,3510,KELM,medium_airport,Elmira Corning Regional Airport,42.1599006652832,-76.8916015625,954.0,,US,US-NY,Elmira/Corning,yes,KELM,ELM,ELM,,https://en.wikipedia.org/wiki/Elmira-Corning_Regional_Airport,
30390,3539,KFRG,medium_airport,Republic Airport,40.7288017273,-73.41339874270001,82.0,,US,US-NY,Farmingdale,no,KFRG,FRG,FRG,http://www.republicairport.net/,https://en.wikipedia.org/wiki/Republic_Airport,Fairchild Flying Field
30501,3554,KGFL,medium_airport,Floyd Bennett Memorial Airport,43.3412017822,-73.6102981567,328.0,,US,US-NY,Glens Falls,no,KGFL,GFL,GFL,http://www.warrencountydpw.com/airport_07/,https://en.wikipedia.org/wiki/Floyd_Bennett_Memorial_Airport,
30679,3589,KHPN,medium_airport,Westchester County Airport,41.06700134277344,-73.70760345458984,439.0,,US,US-NY,White Plains,yes,KHPN,HPN,HPN,,https://en.wikipedia.org/wiki/Westchester_County_Airport,"Manhattan, New York City, NYC"
30773,3603,KIAG,medium_airport,Niagara Falls International Airport,43.1072998046875,-78.94619750976562,589.0,,US,US-NY,Niagara Falls,no,KIAG,IAG,IAG,,https://en.wikipedia.org/wiki/Niagara_Falls_International_Airport,
30829,3616,KISP,medium_airport,Long Island Mac Arthur Airport,40.79520035,-73.10019684,99.0,,US,US-NY,Islip,yes,KISP,ISP,ISP,,https://en.wikipedia.org/wiki/Long_Island_MacArthur_Airport,
30833,20193,KITH,medium_airport,Ithaca Tompkins Regional Airport,42.49100112915039,-76.4583969116211,1099.0,,US,US-NY,Ithaca,yes,KITH,ITH,ITH,,https://en.wikipedia.org/wiki/Ithaca_Tompkins_Regional_Airport,
30862,20213,KJHW,medium_airport,Chautauqua County-Jamestown Airport,42.15340042,-79.25800323,1723.0,,US,US-NY,Jamestown,no,KJHW,JHW,JHW,,https://en.wikipedia.org/wiki/Chautauqua_County-Jamestown_Airport,
31310,3710,KMSS,medium_airport,Massena International Richards Field,44.93579864501953,-74.84559631347656,215.0,,US,US-NY,Massena,yes,KMSS,MSS,MSS,http://www.massenaworks.com/town/airport.asp,https://en.wikipedia.org/wiki/Massena_International_Airport,
31721,20808,KPBG,medium_airport,Plattsburgh International Airport,44.6509017944336,-73.46810150146484,234.0,,US,US-NY,Plattsburgh,yes,KPBG,PBG,PBG,http://www.plattsburghinternationalairport.com/,https://en.wikipedia.org/wiki/Plattsburgh_International_Airport,Plattsburgh Air Force Base
31796,3786,KPOU,medium_airport,Dutchess County Airport,41.6265983581543,-73.88420104980469,165.0,,US,US-NY,Poughkeepsie,no,KPOU,POU,POU,,https://en.wikipedia.org/wiki/Dutchess_County_Airport,
32973,20940,KRME,medium_airport,Griffiss International Airport,43.23379898,-75.40699768,504.0,,US,US-NY,Rome,no,KRME,RME,RME,http://www.ocgov.net/oneida/airport,https://en.wikipedia.org/wiki/Griffiss_Airfield,
33099,3871,KSCH,medium_airport,Schenectady County Airport,42.852500915527,-73.92890167236301,378.0,,US,US-NY,Schenectady,no,KSCH,SCH,SCH,http://www.schenectadycounty.com/FullStory.aspx?m=100&amid=432,https://en.wikipedia.org/wiki/Schenectady_County_Airport,
33158,3890,KSLK,medium_airport,Adirondack Regional Airport,44.38529968261719,-74.2061996459961,1663.0,,US,US-NY,Saranac Lake,yes,KSLK,SLK,SLK,,https://en.wikipedia.org/wiki/Adirondack_Regional_Airport,
33227,3911,KSWF,medium_airport,New York Stewart International Airport,41.504101,-74.10479699999999,491.0,,US,US-NY,Newburgh,yes,KSWF,SWF,SWF,,https://en.wikipedia.org/wiki/Stewart_International_Airport,
